iter	Passed	Remaining
0	2	285
1	5	253
2	7	242
3	9	225
4	11	224
5	14	220
6	16	218
7	18	217
8	21	217
9	23	213
10	25	210
11	28	207
12	30	205
13	32	198
14	33	192
15	35	185
16	36	180
17	38	174
18	39	169
19	41	165
20	42	161
21	44	157
22	46	154
23	47	150
24	49	147
25	50	143
26	51	140
27	53	137
28	55	134
29	56	131
30	58	129
31	59	126
32	61	125
33	63	123
34	65	122
35	67	120
36	69	117
37	70	115
38	72	113
39	73	110
40	75	108
41	75	104
42	77	102
43	78	100
44	80	98
45	81	96
46	83	93
47	84	91
48	86	89
49	87	87
50	89	85
51	90	83
52	92	81
53	93	79
54	94	77
55	96	75
56	97	73
57	99	71
58	100	70
59	102	68
60	104	66
61	105	64
62	106	62
63	108	60
64	109	59
65	111	57
66	112	55
67	114	53
68	115	52
69	117	50
70	118	48
71	120	46
72	121	45
73	123	43
74	124	41
75	126	39
76	127	38
77	129	36
78	130	34
79	132	33
80	133	31
81	135	29
82	136	27
83	138	26
84	139	24
85	141	22
86	142	21
87	143	19
88	145	17
89	146	16
90	148	14
91	149	13
92	151	11
93	152	9
94	154	8
95	155	6
96	156	4
97	159	3
98	160	1
99	161	0
